AC,DC
226.003,229.2
147.398,225.2
166.0965,224.4
184.795,242.6
208.431,248.1
150.264,248.1
133.016,230
132.311,218.9
133.845,222.1
132.972,221.3
134.518,220.5
134.432,220.5
133.837,222.9
132.829,224.4
132.112,226.8
130.897,217.4
125.08,205.5
121.274,204.8
119.783,204
120.695,204
122.376,203.2
125.21,201.6
125.03,199.2
128.427,200.8
129.792,192.2
127.171,199.2
127.26,192.2
126.474,208.7
126.66,216.6
123.295,216.6
124.198,215
124.285,215.8
122.844,213.4
125.45,215.8
125.77,215.8
121.77,215
119.34,222.1
120.603,267
119.627,336.3
118.332,386.7
172.326,426
198.753,465.4
222.629,470.9
237.052,482
240.541,474.1
247.671,470.1
257.647,485.9
253.527,456
257.395,442.6
253.906,428.4
246.158,352.8
231.468,310.3
210.953,306.3
155.558,287.4
143.462,223.7
139.715,205.5
139.381,202.4
137.187,202.4
136.868,200
132.744,214.2
132.483,217.4
131.628,240.2
132.044,322.9
131.036,385.9
184.682,436.3
199.499,449.7
208.682,467
234.772,452.8
249.352,461.5
252.976,455.2
253.303,441
242.203,429.2
244.522,415.8
240.953,404
233.407,339.4
224.655,298.5
210.394,284.3
151.481,249.6
138.906,198.5
135.488,185.1
132.072,187.4
130.642,187.4
128.239,190.6
126.805,189
124.965,188.2
124.523,222.9
124.852,306.3
123.667,385.9
179.881,426.8
197.354,447.3
214.813,456
233.115,473.3
